,gid,위도,경도,sub_cnt,point
0,Na,37.27088631,126.95014540000001,1,POINT (126.9501454 37.27088631)
1,Na,37.279899900000004,126.9500798,1,POINT (126.9500798 37.2798999)
2,광교 파출소,37.28929843,127.04026540000001,1,POINT (127.0402654 37.28929843)
3,광교 파출소,37.31181057,127.0344858,1,POINT (127.0344858 37.31181057)
4,광교 파출소,37.29393192,127.07408459999999,1,POINT (127.0740846 37.29393192)
5,Na,37.32061349,126.9836425,1,POINT (126.9836425 37.32061349)
6,Na,37.33427681,127.0174144,1,POINT (127.0174144 37.33427681)
7,Na,37.26202497,126.98404280000001,1,POINT (126.9840428 37.26202497)
8,광교 파출소,37.28940462,127.06846920000001,1,POINT (127.0684692 37.28940462)
9,광교 파출소,37.29389078,127.0628024,1,POINT (127.0628024 37.29389078)
10,Na,37.23493428,126.9729538,1,POINT (126.9729538 37.23493428)
11,광교 파출소,37.32526321,127.01747209999999,1,POINT (127.0174721 37.32526321)
12,Na,37.25736589,126.95024369999999,1,POINT (126.9502437 37.25736589)
13,광교 파출소,37.28942505,127.07411,1,POINT (127.07411 37.28942505)
14,Na,37.2484548,126.9728597,1,POINT (126.9728597 37.2484548)
15,Na,37.26181979,126.9389337,1,POINT (126.9389337 37.26181979)
16,Na,37.24840407,126.9615844,1,POINT (126.9615844 37.24840407)
17,광교 파출소,37.25326528,127.0461226,1,POINT (127.0461226 37.25326528)
18,광교 파출소,37.28487705,127.06285449999999,1,POINT (127.0628545 37.28487705)
19,광교 파출소,37.28034922,127.0572405,1,POINT (127.0572405 37.28034922)
20,광교 파출소,37.29397198,127.0853668,1,POINT (127.0853668 37.29397198)
21,Na,37.27080652,126.93322749999999,1,POINT (126.9332275 37.27080652)
22,Na,37.23939041,126.96164850000001,1,POINT (126.9616485 37.23939041)
23,Na,37.32977001,127.0174433,1,POINT (127.0174433 37.32977001)
24,광교 파출소,37.30275199,127.0232578,1,POINT (127.0232578 37.30275199)
25,광교 파출소,37.30284075,127.04582490000001,1,POINT (127.0458249 37.30284075)
26,Na,37.27987356,126.94443989999999,1,POINT (126.9444399 37.27987356)
27,Na,37.28445857,126.9613277,1,POINT (126.9613277 37.28445857)
28,광교 파출소,37.31169623,127.0062737,1,POINT (127.0062737 37.31169623)
29,Na,37.23972288,127.04056670000001,1,POINT (127.0405667 37.23972288)
30,광교 파출소,37.28927639,127.0346246,1,POINT (127.0346246 37.28927639)
31,Na,37.23495923,126.9785905,1,POINT (126.9785905 37.23495923)
32,Na,37.23970088,127.03492959999998,1,POINT (127.0349296 37.23970088)
33,Na,37.26632659,126.9389002,1,POINT (126.9389002 37.26632659)
34,Na,37.266531799999996,126.9840121,1,POINT (126.9840121 37.2665318)
35,광교 파출소,37.28017186,127.0121199,1,POINT (127.0121199 37.28017186)
36,광교 파출소,37.29829007,127.03456909999998,1,POINT (127.0345691 37.29829007)
37,Na,37.26189875,126.95584950000001,1,POINT (126.9558495 37.26189875)
