gid,여성인구비율,cctv개수,가로등개수,경찰서접근성
다사58a23b,0.236842105,1,4,2.912
다사57a20a,0.234275822,1,108,0.656
다사50a20b,0.23255814,2,19,1.36
다사55a17a,0.228571429,1,11,1.084
다사60b17a,0.225856698,1,18,2.658
다사54b24b,0.220779221,1,40,1.583
다사54a17b,0.201257862,1,49,2.853
다사54b17a,0.197969543,1,69,0.636
다사57a24a,0.194444444,1,35,4.171
다사57a25b,0.191011236,1,19,5.566
