,gid,sgg_nm_e,value,geometry
49,다사51b22a,"Gwonseon-gu, Suwon-si",1.857,"MULTIPOLYGON (((126.9527855860825 37.2956867418274, 126.952752935898 37.30019352346835, 126.9583944268082 37.30021947497492, 126.9584267404469 37.29571268912601, 126.9527855860825 37.2956867418274)))"
50,다사51b22b,"Gwonseon-gu, Suwon-si",2.28,"MULTIPOLYGON (((126.952752935898 37.30019352346835, 126.9527202784452 37.3047003016445, 126.958362105976 37.30472625735953, 126.9583944268082 37.30021947497492, 126.952752935898 37.30019352346835)))"
51,다사52a15b,"Gwonseon-gu, Suwon-si",4.048,"MULTIPOLYGON (((126.9588461639131 37.23712415790702, 126.9588139436361 37.2416309887781, 126.9644510724601 37.24165661729232, 126.9644829571621 37.23714978226322, 126.9588461639131 37.23712415790702)))"
52,다사52a16a,"Gwonseon-gu, Suwon-si",3.032,"MULTIPOLYGON (((126.9588139436361 37.2416309887781, 126.9587817161874 37.24613781618688, 126.9644191806613 37.2461634488596, 126.9644510724601 37.24165661729232, 126.9588139436361 37.2416309887781)))"
53,다사52a16b,"Gwonseon-gu, Suwon-si",2.771,"MULTIPOLYGON (((126.9587817161874 37.24613781618688, 126.9587494815655 37.25064464013316, 126.9643872817639 37.25067027696488, 126.9644191806613 37.2461634488596, 126.9587817161874 37.24613781618688)))"
54,다사52a17a,"Gwonseon-gu, Suwon-si",1.839,"MULTIPOLYGON (((126.9587494815655 37.25064464013316, 126.9587172397686 37.25515146061682, 126.9643553757663 37.25517710160803, 126.9643872817639 37.25067027696488, 126.9587494815655 37.25064464013316)))"
55,다사52a17b,"Gwonseon-gu, Suwon-si",2.228,"MULTIPOLYGON (((126.9587172397686 37.25515146061682, 126.9586849907951 37.25965827763768, 126.9643234626668 37.25968392278886, 126.9643553757663 37.25517710160803, 126.9587172397686 37.25515146061682)))"
56,다사52a18a,"Gwonseon-gu, Suwon-si",2.136,"MULTIPOLYGON (((126.9586849907951 37.25965827763768, 126.9586527346433 37.26416509119561, 126.9642915424637 37.26419074050726, 126.9643234626668 37.25968392278886, 126.9586849907951 37.25965827763768)))"
57,다사52a18b,"Gwonseon-gu, Suwon-si",1.569,"MULTIPOLYGON (((126.9586527346433 37.26416509119561, 126.9586204713114 37.26867190129045, 126.9642596151553 37.26869755476304, 126.9642915424637 37.26419074050726, 126.9586527346433 37.26416509119561)))"
58,다사52a19a,"Gwonseon-gu, Suwon-si",1.257,"MULTIPOLYGON (((126.9586204713114 37.26867190129045, 126.958588200798 37.27317870792205, 126.9642276807402 37.27320436555608, 126.9642596151553 37.26869755476304, 126.9586204713114 37.26867190129045)))"
