gid,여성인구비율,cctv개수,가로등개수,경찰서접근성,
다사53b21b,0.228782754,0,0.142322097,0.131336742,0.217797398
다사53b22a,0.228333996,0.166666667,0.475655431,0.136157779,-0.277830322
다사59b16a,0.228276892,0,0.359550562,0.089627465,-0.041646205
다사59b23a,0.228245316,0,1,0.175018262,-0.596736422
다사51a20a,0.228014428,0,0.033707865,0.905186267,1.09949283
다사56a20a,0.227787746,0.333333333,0.127340824,0.072169467,-0.160716945
다사51a18a,0.227785087,0,0.179775281,0.166544923,0.21455473
다사57a18a,0.227236436,0.5,0.172284644,0.070416362,-0.374631846
다사53a23a,0.227217869,0,0.269662921,0.071585099,0.029140046
다사62a21b,0.227001185,0,0.123595506,0.694448503,0.797854182
다사57b18b,0.226373101,0.166666667,0.220973783,0.082395909,-0.078871439
다사57a17b,0.22591606,0.166666667,0.172284644,0.083345508,-0.029689743
다사58b20b,0.225400215,0.166666667,0.194756554,0.095544193,-0.040478813
다사61a19a,0.224971359,0,0.29588015,0.079693207,0.008784416
다사55a19b,0.224695251,0,0.202247191,0.090430972,0.112879032
다사53b20a,0.224291632,0.333333333,0.119850187,0.088239591,-0.140652297
다사52a18b,0.223555544,0,0.310861423,0.108035062,0.020729183
다사53a19a,0.223034961,0,0.280898876,0.091672754,0.033808838
다사55b19b,0.222946686,0,0.104868914,0.023228634,0.141306406
다사57a16a,0.222822428,0,0.284644195,0.115193572,0.053371806
다사58a20a,0.222344458,0.166666667,0.243445693,0.009276844,-0.178491057
다사55a20a,0.222278084,0,0.176029963,0.062454346,0.108702468
다사51b22a,0.221531194,0,0.269662921,0.129072316,0.080940588
다사56b22b,0.22130841,0.166666667,0.224719101,0.089919649,-0.080157709
다사55b22b,0.219518058,0,0.127340824,0.085244704,0.177421939
다사56b19b,0.21911209,0,0.052434457,0.085025566,0.251703199
다사58a21a,0.218439489,0.166666667,0.142322097,0.065157049,-0.025392226
다사56a21b,0.217711877,0.166666667,0.134831461,0.032067202,-0.051719048
다사62b21b,0.217604685,0,0.202247191,0.151351351,0.166708845
